"n_code","active","last_update","update_count","input_date","lat","lng","x_900913","y_900913","extension","date_photo","device_platform","device_model","device_uuid","user_n_code","viewing_angle","points","rain","bottom","fu_value","fu_processed","fu_observed","sd_depth","flagged_count","image"
"6438","1","9/2/2017 5:04:42 PM","2","9/2/2017 4:38:01 PM","-37.840559016948","144.92738412707","16133242","-4556926","png","9/2/2017 2:11:16 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","4","0","1","","15","0","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6438.png"
"6437","1","9/2/2017 5:04:47 PM","2","9/2/2017 4:37:44 PM","-37.841151575593","144.92725085481","16133227","-4557010","png","9/2/2017 2:10:16 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","5","0","1","","10","18","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6437.png"
"6436","1","9/2/2017 5:04:52 PM","2","9/2/2017 4:37:34 PM","-37.84145047426","144.92643889985","16133137","-4557052","png","9/2/2017 2:09:01 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","6","10","1","","9","18","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6436.png"
"6435","1","9/2/2017 5:04:58 PM","2","9/2/2017 4:37:26 PM","-37.820577775163","144.96206735274","16137103","-4554110","png","8/31/2017 11:51:59 PM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","10","0","","","16","19","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6435.png"
"6434","1","9/2/2017 5:05:03 PM","2","9/2/2017 4:37:15 PM","-37.820536578109","144.96204949929","16137101","-4554104","png","8/31/2017 11:50:05 PM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","7","10","","","16","1","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6434.png"
"6408","1","8/29/2017 1:04:30 PM","2","8/29/2017 1:01:13 PM","-37.842604871875","144.93080729632","16133623","-4557214","png","8/29/2017 12:32:23 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","8","0","","","4","4","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6408.png"
"6407","1","8/29/2017 1:04:36 PM","2","8/29/2017 1:01:10 PM","-37.84264250662","144.93087267517","16133630","-4557220","png","8/29/2017 12:30:53 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","7","0","","","13","9","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6407.png"
"6406","1","8/29/2017 1:04:41 PM","2","8/29/2017 1:01:04 PM","-37.841503196431","144.9271125534","16133212","-4557059","png","8/29/2017 12:24:19 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","9","0","","1","8","8","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6406.png"
"6405","1","8/29/2017 1:04:46 PM","2","8/29/2017 1:00:57 PM","-37.84153441902","144.92645541219","16133139","-4557064","png","8/29/2017 12:23:25 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","11","0","","","17","8","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6405.png"
"6404","1","8/29/2017 1:04:52 PM","2","8/29/2017 1:00:53 PM","-37.841426585836","144.9264827372","16133142","-4557048","png","8/29/2017 12:21:40 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","8","10","","","9","4","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6404.png"
"6401","1","8/29/2017 1:04:31 AM","2","8/29/2017 12:16:59 AM","-37.82044039577","144.96402293457","16137321","-4554091","png","8/28/2017 12:47:24 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","8","0","1","","10","19","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6401.png"
"6400","1","8/29/2017 1:04:36 AM","2","8/29/2017 12:16:53 AM","-37.820660211181","144.96226198053","16137125","-4554122","png","8/28/2017 12:45:39 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","10","10","1","","18","18","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6400.png"
"6376","1","8/25/2017 1:04:33 PM","2","8/25/2017 12:12:49 PM","-37.820410053281","144.96218302301","16137116","-4554086","png","8/25/2017 12:53:43 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","13","0","","","10","0","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6376.png"
"6375","1","8/25/2017 1:04:39 PM","2","8/25/2017 12:12:44 PM","-37.820554557292","144.96221571243","16137120","-4554107","png","8/25/2017 12:51:55 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","6","10","","","18","17","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6375.png"
"6344","1","8/22/2017 2:04:35 PM","2","8/22/2017 1:46:16 PM","-37.820422542317","144.9640393631","16137323","-4554088","png","8/22/2017 12:45:23 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","9","0","","","17","0","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6344.png"
"6343","1","8/22/2017 2:04:41 PM","2","8/22/2017 1:46:11 PM","-37.820394965855","144.9622996991","16137129","-4554084","png","8/22/2017 12:43:30 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","12","0","","","18","16","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6343.png"
"6342","1","8/22/2017 2:04:46 PM","2","8/22/2017 1:46:04 PM","-37.820502882859","144.96238033301","16137138","-4554099","png","8/22/2017 12:43:08 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","12","10","","","17","16","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6342.png"
"6338","1","8/21/2017 1:04:36 AM","2","8/21/2017 12:12:32 AM","-37.8459067969","144.91620048894","16131997","-4557680","png","8/19/2017 5:53:11 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","11","0","1","1","14","8","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6338.png"
"6337","1","8/21/2017 1:04:42 AM","2","8/21/2017 12:12:28 AM","-37.845910820214","144.91625237292","16132003","-4557680","png","8/19/2017 5:52:36 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","11","0","1","1","10","15","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6337.png"
"6336","1","8/21/2017 1:04:47 AM","2","8/21/2017 12:12:21 AM","-37.845162274351","144.9154925534","16131918","-4557575","png","8/19/2017 5:47:59 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","10","0","1","1","9","7","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6336.png"
"6335","1","8/21/2017 1:04:52 AM","2","8/21/2017 12:12:17 AM","-37.84524378836","144.91549523561","16131919","-4557586","png","8/19/2017 5:47:43 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","6","0","1","1","10","2","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6335.png"
"6334","1","8/21/2017 1:04:58 AM","2","8/21/2017 12:12:13 AM","-37.84438330218","144.91496793008","16131860","-4557465","png","8/19/2017 5:45:44 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","11","0","1","1","11","8","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6334.png"
"6333","1","8/21/2017 1:05:03 AM","2","8/21/2017 12:12:08 AM","-37.84438330218","144.91496793008","16131860","-4557465","png","8/19/2017 5:45:10 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","8","10","1","1","12","2","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6333.png"
"6279","1","8/16/2017 7:13:46 PM","3","8/14/2017 7:25:26 AM","-36.1107758107","147.03452417641","16367808","-4315874","png","8/14/2017 7:24:05 AM","iOS","iPhone5,2","89500798-F03E-4D5B-81F7-609608B80081","","4","10","","","16","4","15","4.25","0","http://www.eyeonwater.org/media/eyeonwater_upload/6279.png"
"6278","1","8/16/2017 7:13:46 PM","3","8/14/2017 6:39:42 AM","-36.127890651148","147.03977535492","16368392","-4318233","png","8/14/2017 6:38:31 AM","iOS","iPhone5,2","89500798-F03E-4D5B-81F7-609608B80081","","4","10","","","16","11","16","3","0","http://www.eyeonwater.org/media/eyeonwater_upload/6278.png"
"6277","1","8/16/2017 7:13:46 PM","3","8/14/2017 4:57:11 AM","-36.203805422444","147.07826513811","16372677","-4328701","png","8/14/2017 4:55:55 AM","iOS","iPhone5,2","89500798-F03E-4D5B-81F7-609608B80081","","6","0","","","14","8","17","3.1","0","http://www.eyeonwater.org/media/eyeonwater_upload/6277.png"
"6276","1","8/16/2017 7:13:46 PM","3","8/14/2017 4:56:12 AM","-36.203848128241","147.0782673174","16372677","-4328706","png","8/14/2017 4:54:54 AM","iOS","iPhone5,2","89500798-F03E-4D5B-81F7-609608B80081","","4","10","","","13","11","17","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/6276.png"
"6275","1","8/16/2017 7:13:46 PM","3","8/14/2017 3:31:46 AM","-36.097466605749","147.04676175504","16369170","-4314040","png","8/14/2017 3:30:16 AM","iOS","iPhone5,2","89500798-F03E-4D5B-81F7-609608B80081","","3","10","","","14","12","18","2.65","0","http://www.eyeonwater.org/media/eyeonwater_upload/6275.png"
"5997","1","8/16/2017 7:13:46 PM","9","6/27/2017 4:08:06 PM","-37.820099294221","144.96453984654","16137378","-4554042","png","6/27/2017 12:45:36 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","2","0","","","10","15","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5997.png"
"5996","1","8/16/2017 7:13:46 PM","9","6/27/2017 4:07:59 PM","-37.820648392698","144.9624313788","16137144","-4554120","png","6/27/2017 12:43:49 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","6","10","","","16","16","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5996.png"
"5988","1","8/16/2017 7:13:46 PM","10","6/26/2017 1:00:49 AM","-27.497618696678","153.01960579134","17034064","-3185781","png","6/26/2017 12:59:39 AM","iOS","iPhone6,2","E672976D-99C4-487B-9A5C-E6A5714081CE","","-1","10","","","19","20","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5988.png"
"5961","1","8/16/2017 7:13:46 PM","10","6/21/2017 2:11:07 PM","-33.872677157665","151.19973359644","16831477","-4011718","png","6/20/2017 12:26:49 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","11","0","1","","10","0","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5961.png"
"5960","1","8/16/2017 7:13:46 PM","10","6/21/2017 4:11:27 AM","-33.872684617558","151.19978640243","16831483","-4011719","png","6/20/2017 12:26:18 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","5","10","1","","9","0","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5960.png"
"5922","1","8/16/2017 7:13:46 PM","10","6/14/2017 8:48:13 AM","-37.84592066895","144.916107366","16131987","-4557682","png","6/14/2017 7:37:37 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","3","0","","1","9","13","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5922.png"
"5921","1","8/16/2017 7:13:46 PM","10","6/14/2017 8:48:09 AM","-37.845931481605","144.91611759192","16131988","-4557683","png","6/14/2017 7:37:15 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","3","0","","1","10","9","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5921.png"
"5920","1","8/16/2017 7:13:46 PM","10","6/14/2017 8:47:57 AM","-37.845162944903","144.91554091698","16131924","-4557575","png","6/14/2017 7:35:29 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","3","0","","1","9","15","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5920.png"
"5919","1","8/16/2017 7:13:46 PM","10","6/14/2017 8:47:50 AM","-37.84517187163","144.91553806713","16131923","-4557576","png","6/14/2017 7:35:10 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","7","0","","1","8","14","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5919.png"
"5918","1","8/16/2017 7:13:46 PM","10","6/14/2017 8:47:45 AM","-37.84437114842","144.91494135945","16131857","-4557463","png","6/14/2017 7:33:41 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","8","0","","1","9","10","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5918.png"
"5917","1","8/16/2017 7:13:46 PM","10","6/14/2017 8:47:40 AM","-37.844351199491","144.91497966474","16131861","-4557461","png","6/14/2017 7:33:21 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","6","10","","1","9","14","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5917.png"
"5890","1","8/16/2017 7:13:46 PM","11","6/10/2017 9:03:48 AM","-33.872986449892","151.20019812151","16831529","-4011759","png","5/16/2017 5:03:25 AM","iOS","iPhone7,2","A9366046-54DD-4E3D-A785-5F63375457BA","35","3","10","","","7","7","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5890.png"
"5889","1","8/16/2017 7:13:46 PM","11","6/10/2017 4:50:24 AM","-37.84267800398","144.93082950837","16133626","-4557225","png","6/10/2017 3:50:43 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","8","0","","","11","0","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5889.png"
"5888","1","8/16/2017 7:13:46 PM","11","6/10/2017 4:50:06 AM","-37.842809348402","144.93065298548","16133606","-4557243","png","6/10/2017 3:49:45 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","12","0","","","6","5","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5888.png"
"5887","1","8/16/2017 7:13:46 PM","11","6/10/2017 4:49:48 AM","-37.841353495641","144.92720735273","16133222","-4557038","png","6/10/2017 3:44:49 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","8","0","","","7","7","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5887.png"
"5886","1","8/16/2017 7:13:46 PM","11","6/10/2017 4:49:38 AM","-37.841803603841","144.92701850845","16133201","-4557102","png","6/10/2017 3:42:59 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","8","0","","","8","8","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5886.png"
"5885","1","8/16/2017 7:13:46 PM","11","6/10/2017 4:49:13 AM","-37.841912820039","144.92694332278","16133193","-4557117","png","6/10/2017 3:42:37 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","8","0","","","10","8","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5885.png"
"5884","1","8/16/2017 7:13:46 PM","11","6/10/2017 4:48:56 AM","-37.841879208607","144.92643303251","16133136","-4557112","png","6/10/2017 3:41:40 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","5","10","","","9","3","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5884.png"
"5881","1","8/16/2017 7:13:46 PM","14","6/7/2017 6:06:34 AM","-37.814704743249","144.94258630103","16134934","-4553282","png","6/7/2017 3:51:58 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","13","0","","","2","2","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5881.png"
"5880","1","8/16/2017 7:13:46 PM","14","6/7/2017 6:06:31 AM","-37.814711784048","144.94251606068","16134927","-4553283","png","6/7/2017 3:50:31 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","15","0","","","2","1","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5880.png"
"5879","1","8/16/2017 7:13:46 PM","14","6/7/2017 6:06:28 AM","-37.814269848203","144.94370008832","16135058","-4553221","png","6/7/2017 3:49:23 AM","iOS","iPhone8,1","A9C15DEC-6629-4D39-BAC7-5EFD97EDFAF4","","13","10","","","2","2","0","0","0","http://www.eyeonwater.org/media/eyeonwater_upload/5879.png"
