Year,Limit,No Environmental influence,With environment; No adaptation,Reduce Chick Mortality,+ Improve Juvenile Survival,+ Improve Chick Production,Delay 5 Years,Adult survival delay,Improve Adult Survival
1943,5500,308.9272452,308.9272452,308.9272452,308.9272452,308.9272452,308.9272452,308.9272452,308.9272452
1944,5500,305.0193837,305.0193837,305.0193837,305.0193837,305.0193837,305.0193837,305.0193837,305.0193837
1945,5500,300.8996003,300.8996003,300.8996003,300.8996003,300.8996003,300.8996003,300.8996003,300.8996003
1946,5500,296.6935263,296.6935263,296.6935263,296.6935263,296.6935263,296.6935263,296.6935263,296.6935263
1947,5500,292.0709595,292.0709595,292.0709595,292.0709595,292.0709595,292.0709595,292.0709595,292.0709595
1948,5500,286.7578609,286.7578609,286.7578609,286.7578609,286.7578609,286.7578609,286.7578609,286.7578609
1949,5500,281.5880988,281.5880988,281.5880988,281.5880988,281.5880988,281.5880988,281.5880988,281.5880988
1950,5500,281.1318897,281.1318897,281.1318897,281.1318897,281.1318897,281.1318897,281.1318897,281.1318897
1951,5500,293.3165871,293.3165871,293.3165871,293.3165871,293.3165871,293.3165871,293.3165871,293.3165871
1952,5500,322.1669781,322.1669781,322.1669781,322.1669781,322.1669781,322.1669781,322.1669781,322.1669781
1953,5500,362.8594277,362.8594277,362.8594277,362.8594277,362.8594277,362.8594277,362.8594277,362.8594277
1954,5500,408.0739292,408.0739292,408.0739292,408.0739292,408.0739292,408.0739292,408.0739292,408.0739292
1955,5500,452.8187298,452.8187298,452.8187298,452.8187298,452.8187298,452.8187298,452.8187298,452.8187298
1956,5500,495.5358808,495.5358808,495.5358808,495.5358808,495.5358808,495.5358808,495.5358808,495.5358808
1957,5500,536.2131242,536.2131242,536.2131242,536.2131242,536.2131242,536.2131242,536.2131242,536.2131242
1958,5500,575.3785504,575.3785504,575.3785504,575.3785504,575.3785504,575.3785504,575.3785504,575.3785504
1959,5500,613.6950418,613.6950418,613.6950418,613.6950418,613.6950418,613.6950418,613.6950418,613.6950418
1960,5500,652.5477579,652.5477579,652.5477579,652.5477579,652.5477579,652.5477579,652.5477579,652.5477579
1961,5500,694.1368084,694.1368084,694.1368084,694.1368084,694.1368084,694.1368084,694.1368084,694.1368084
1962,5500,740.2823788,740.2823788,740.2823788,740.2823788,740.2823788,740.2823788,740.2823788,740.2823788
1963,5500,791.3005099,791.3005099,791.3005099,791.3005099,791.3005099,791.3005099,791.3005099,791.3005099
1964,5500,846.6125312,846.6125312,846.6125312,846.6125312,846.6125312,846.6125312,846.6125312,846.6125312
1965,5500,905.7555386,905.7555386,905.7555386,905.7555386,905.7555386,905.7555386,905.7555386,905.7555386
1966,5500,969.3053396,969.3053396,969.3053396,969.3053396,969.3053396,969.3053396,969.3053396,969.3053396
1967,5500,1037.00063,1037.00063,1037.00063,1037.00063,1037.00063,1037.00063,1037.00063,1037.00063
1968,5500,1107.277957,1107.277957,1107.277957,1107.277957,1107.277957,1107.277957,1107.277957,1107.277957
1969,5500,1180.270922,1180.270922,1180.270922,1180.270922,1180.270922,1180.270922,1180.270922,1180.270922
1970,5500,1257.280152,1257.280152,1257.280152,1257.280152,1257.280152,1257.280152,1257.280152,1257.280152
1971,5500,1338.882863,1338.882863,1338.882863,1338.882863,1338.882863,1338.882863,1338.882863,1338.882863
1972,5500,1423.699182,1423.699182,1423.699182,1423.699182,1423.699182,1423.699182,1423.699182,1423.699182
1973,5500,1515.351602,1515.351602,1515.351602,1515.351602,1515.351602,1515.351602,1515.351602,1515.351602
1974,5500,1608.592506,1608.592506,1608.592506,1608.592506,1608.592506,1608.592506,1608.592506,1608.592506
1975,5500,1707.244945,1707.244945,1707.244945,1707.244945,1707.244945,1707.244945,1707.244945,1707.244945
1976,5500,1810.047567,1810.047567,1810.047567,1810.047567,1810.047567,1810.047567,1810.047567,1810.047567
1977,5500,1915.464089,1915.464089,1915.464089,1915.464089,1915.464089,1915.464089,1915.464089,1915.464089
1978,5500,2024.543564,2024.543564,2024.543564,2024.543564,2024.543564,2024.543564,2024.543564,2024.543564
1979,5500,2136.249572,2136.249572,2136.249572,2136.249572,2136.249572,2136.249572,2136.249572,2136.249572
1980,5500,2242.070482,2242.070482,2242.070482,2242.070482,2242.070482,2242.070482,2242.070482,2242.070482
